label,Datetime,Text,Username,JumlahFollowers,JumlahLike,JumlahReply,JumlahRetweet
unlabeled,2018-10-21 14:23:28+00:00,@feng_lauw @Dahnilanzar @prabowo @sandiuno Enak dadi wong sugih lak ngunu,RomoValkovic,474,0,0,0
unlabeled,2018-10-28 15:53:24+00:00,"Allahu akbar
Kami dibawah komando ulama
Kami Bangga terlahir sebagai muslim.
""GPK KHITTAH KOTA JOGJA""
#PEJUANGTAUHID
#MOSLEMFIGHTER
#BISMILLAH PRABOWO-SANDIAGA PRESIDEN DAN WAKIL PRESIDEN PERIODE 2019-2024 https://t.co/WMpWM09ybf",TimkoT_official,22305,188,7,78
unlabeled,2018-10-28 23:47:05+00:00,@PollingIW @abimael1975 Pilih Prabowo - Sandi karena sudah capek melihat ketidak adilan di rezim jokowi ini.,bocahbarru,283,0,0,0
unlabeled,2018-10-30 14:46:33+00:00,"@penisetiawati @paquitacumadebu @LukmanNu12 @SammiSoh @jokowi Kan saya tanya sama mbak,mbak maunya prestasi prabowo sbagai apa,malah gak di jawab....!",muhamad_yani11,911,0,0,0
unlabeled,2018-10-21 12:53:32+00:00,@Chacha_098 @TheArieAir Klo aku dikaruniai  umur panjang 2034 nanti aku pilih Prabowo,mbh_mar,326,1,2,1
unlabeled,2018-10-24 04:14:04+00:00,@FaldoMaldini @prabowo @sandiuno Gak berbobot,Rony56214783,7,0,0,0
unlabeled,2018-10-30 23:29:49+00:00,"@KotakPandoras Ga slaah?..prabowo keturunan mas
Belajar silsilah dulu ..",dediardo,38,0,0,0
unlabeled,2018-10-18 09:58:38+00:00,@prabowo Amin smoga membawa perubahan untuk bpk.prabowo indonesia yg maju.,RukmanS5,19,0,0,0
unlabeled,2018-10-25 04:24:44+00:00,"Galang Donasi Bencana, BEIB For Prabowo-Sandi Salurkan Lewat FPI https://t.co/Lduyf9y0CX https://t.co/ItGY6Z6xV6",teh_echa,1894,0,0,0
unlabeled,2018-10-21 18:58:15+00:00,@EV220622 Allah maha tau siapa yg trbaik pimmpin indonesia. InsyaAllah #BuKaN Prabowo,Haddy81506841,50,0,0,0
unlabeled,2018-10-19 01:27:30+00:00,@maspiyuuu @prabowo Aamiin,ChairulAM3,391,0,0,0
unlabeled,2018-10-24 14:33:26+00:00,@Gerindra Prabowo = Sayyidina Umar mantan pendosa yg menjadi kekasih Allah &gt; Allah tetapkan surga Umar ketika ia masih hidup.,SyaifulNasti,4,3,0,0
unlabeled,2018-10-26 12:12:31+00:00,@sandiuno @Dahnilanzar @prabowo Ngomong sama ngising...sama gampangnya...tinggal crot doang.....,VespaHideung07,15,0,0,0
unlabeled,2018-10-28 09:11:31+00:00,@makLambeTurah Jatim dan madura dan sekitarnya.... ingat @prabowo tdk mau suramadu di gratisin.... ingat yah siapa presiden yg peduli dgn masyarakat kecil.... yg pasti bukan wowo...,aaedoys,384,0,0,0
unlabeled,2018-10-29 15:49:10+00:00,Prabowo Subianto Ikut Belasungkawa Atas Jatuhnya Pesawat Lion Air JT 610 https://t.co/Awr2nfA3S1 lewat @tribunjatim,dosopriyanto,428,0,0,0
unlabeled,2018-10-21 09:22:03+00:00,@ZheeOmega @rayya_liyandra Prabowo is The Highlander...maju terus pantang mundur...👏👏,amettgood,775,1,0,1
unlabeled,2018-10-20 01:59:38+00:00,"@daniaty_annisa @Dahnilanzar @prabowo Dungu itu :
IQ 99
Bicara ketergantungan teks
Narasi nganu nganuu nganuuu
IPK kurang dari 2
Tak faham akan tanggung jawabnya
DLL

Itu baru sebagian kecilnya.
Masih buanyak kedunguan lainnya yg belum masuk kedalam list https://t.co/C7vgtdoFNe",Romelah_mel,1455,0,0,0
unlabeled,2018-10-18 00:26:49+00:00,"@dr_gundi @jokowi Dok 2019 kita ganti aja bpk ini kasian terlalu berat urus bangsa ini. Biar pak prabowo aja ya. hahahaha.
Salam 👆👆✌✌",MfaisAlel,314,4,0,1
unlabeled,2018-10-18 12:56:37+00:00,Maka tepat sekali pak @prabowo bang @sandiuno merangkul pak @SBYudhoyono,raditiya_dwi,3333,1,0,0
unlabeled,2018-10-19 01:48:13+00:00,"Jika kalian belum bisa menjadi pahlawan bagi negeri ini.
Setidaknya janganlah kalian menjadi penghianat bagi negeri ini...
-
Let.Jen TNI.Prabowo Subianto",ImamGosong,16,1,0,0
unlabeled,2018-10-19 00:42:13+00:00,"@maspiyuuu @prabowo Aamiin Insya Alloh Pak @prabowo  Presiden RI ke-8 tahun 2019, kita doakan agar bisa membawa NKRI Adil Makmur dan sejahtera
#2019GantiPresiden 
#2019PrabowoSandi 
Insya Alloh Rakyatnya #AdilMakmur",citrasenna,580,1,0,0
unlabeled,2018-10-22 12:52:13+00:00,"@Tommyleewijaya2 @bambang_arum @SantiErfina @AkunTofa @prabowo Kata2 yg mana ni bro??
Ane atau si @bambang_arum",Mhd_IrfanW,1724,0,0,0
unlabeled,2018-10-28 05:34:03+00:00,@kangdede78 @TsamaraDKI @KPK_RI @Official_PAN @prabowo Amien Rais: PAN Partai Allah😳 @ZUL_Hasan,NapiPKS,6317,0,0,0
unlabeled,2018-10-18 01:51:54+00:00,"Prabowo Hadiri Simposium Dokter Spesial Jantung Se-Solo Raya #prabowo
https://t.co/cDbG6DGWsF",solotrustcom,154,0,0,0
unlabeled,2018-10-24 01:50:48+00:00,"Prabowo Sebut 99% Rakyat Hidup Pas-Pasan, Ini Faktanya Calon Presiden Prabowo Su  https://t.co/xW8lb5AtBv",m18895,545,0,0,0
unlabeled,2018-10-28 12:19:18+00:00,Jokowi atau prabowo ya? https://t.co/LZzOz0oGSY,TOKOGENCOM,100,0,0,0
unlabeled,2018-10-27 09:19:50+00:00,"@Paltiwest @RizmaWidiono @prabowo @sandiuno @YRadianto @SatyaJogja03 @PowerEmak @pekaklonto @herilatief @putra_bisma12 @RealForJokowi @TheArieAir @INTANyk94 @erikhaa21 @Aryprasetyo85 @CH_chotimah @ulinyusron @04Nakula @Airin_NZ @P3nj3l4j4h @ApriliaLin @budimuni98 @BadjaNuswantara @permadiaktivis Jelas ujung""nya sprti itu...,kasus Ratna Hoax ...tdk jln sprti yg mereka inginkan karena cepat terbongkar oleh aparat Kepolisian, jd dibuat isu ""  lain utk mempengaruhi masyarakat khususnya masyarakat Muslim supaya bisa demo ber Jilid"" sprti kasus Ahok .",Edy17907086,11,0,0,0
unlabeled,2018-10-19 12:39:26+00:00,@Dahnilanzar @duta_kurniawan @prabowo Boneka plonga plongo yg dikendalikan mak banteng dan LBP,sebasti48180093,925,0,0,0
unlabeled,2018-10-26 01:15:40+00:00,"@detikcom @prabowo @sandiuno Kasihan Betul PAN sama PKS  gak dapat apa2 mana wagubx mantan korupsi lagi ,",Ernidayat1,3,5,0,0
unlabeled,2018-10-19 07:42:14+00:00,Info Menarik Terbaru Tentang (Ternyata Tak Semua Caleg Demokrat Ikut Dukung Prabowo-Sandiaga Uno) - https://t.co/8WUSPkMS7Z https://t.co/kPZMcBddeg,abumusa86,403,0,0,0
unlabeled,2018-10-17 17:28:20+00:00,"@b4ce6d77c34e41e thun 2020-2024 PRABOWO &amp; SANDI tu akan melihara Fpi,,terorisme,,pembunuh bayaran untuk bunuh pendukung nya PRABOWO &amp; SANDI",daniels87236781,13,0,0,0
unlabeled,2018-10-21 01:47:52+00:00,"@BSukamdono @VIVAcoid @prabowo @sandiuno Klo allah sdh berkehendak jd pemimpin, mau dicurangi mau diapakan pun tetep jadi koq.ya kalau kalah lg mgkn allah blm mengijinkan unt jd pemimpin karna yg baik blm tentu jd yg terbaik.",Aboy_boedy,27,0,0,0
unlabeled,2018-10-21 02:50:25+00:00,@dveir4u @Kupler4 @MuchlistHassan @sndra791 @prabowo Hanya Allah yang tahu.  Bahkan saya pun tidak mampu menilai ketaatan anda.,Astra_Abadi,1240,2,0,0
unlabeled,2018-10-19 04:05:10+00:00,@jaganegeriku @Rezimdongo1 @Lagarde @prabowo Aamiin🙏🏻✌️,Najwa_AlSaggaf,32226,0,0,0
unlabeled,2018-10-30 09:57:16+00:00,"@RestyCayah @prabowo Sia2 rasanya tarung di medsos,kalau benar pak @prabowo tetap milih taufik. Satu kata ""kemaruk"" utk @Gerindra ,,,mundur gw utk iklanin #PADI di lingkungan gw. ""Jendral hrs tepati janji""",ElPertama,1183,1,0,0
unlabeled,2018-10-20 06:20:33+00:00,"@MelayuSejahtera aku heran pak prabowo bilang make indonesia great again, kok sebelah teriak2. Rakyat pingin menikmati kejayaan indonesia di masa lalu lagi. Disegani dst. Gmn ya. Bukannya didukung",Cahyono_100,28,0,0,0
unlabeled,2018-10-18 12:25:07+00:00,@ngonlain @kurniawan14 @republikaonline @bawaslu_RI @prabowo @sandiuno Elu,jusbibkik,209,0,0,0
unlabeled,2018-10-22 15:33:11+00:00,"@sandiuno @prabowo Keberhasilan besar yg terbukti pro rakyat adalah pemberhentian relamasi pantai, semoga sukses selalu, Aamiin",Ramlan44916847,72,0,0,0
unlabeled,2018-10-28 06:24:12+00:00,Ini tweetsnya lbh baik drpd @prabowo yg tweetsnya slu pesimis mulu ga sesuai dgn kondisi badannya yg overweight,MyoIie,4876,1,0,0
unlabeled,2018-10-25 08:39:55+00:00,@marierteman @Gerindra @PKSejahtera @PDemokrat @prabowo @sandiuno Hoax sontoloyo,tanparupa1990,218,1,0,0
unlabeled,2018-10-30 14:32:23+00:00,"@IbrahimALKhawa5 @wing_edelweiss @prabowo @sandiuno @Dahnilanzar Jadi guru harus selesai dengan diri dan keluarga mas
Guru bukan pekerjaan
Ya kalo tidak sanggup jangan maksa jadi guru
Berat memang, belum tingkah lakunya yang menjadi tauladan",gunawaniswahyu3,10,0,0,0
unlabeled,2018-10-27 07:41:34+00:00,"Loe dulu pernah nakut""in orang se Jakarta kalo Anies betemen ama Islam radikal? Menang ngga loe? Sekarang loe mau nakut""in orang se Indonesia kalo Prabowo bersama HTI? Kebanyakan ngelem ya gini nih",malix01,81,0,0,0
unlabeled,2018-10-22 00:04:49+00:00,"@Fahrihamzah @jokowi @prabowo @sandiuno @sudirmansaid @jonan_ignasius @MarufAminNU @erickthohir @Dahnilanzar @Gamal_Albinsaid @FaldoMaldini @ariabima99 @GeneralMoeldoko @BappenasRI @PerekonomianRI @KementerianESDM @djebtke @Amran_Sulaiman1 @SBYudhoyono @Airlangga_4G @evndari @Masinton @BamsoetQuotes @msi_sohibuliman @cakimiNOW @ZUL_Hasan @Yusrilihza_Mhd @Kadir_Karding @LawanPoLitikJW @NasDem @fadlizon @RizieqSyihabFPI @fahiraidris @MardaniAliSera @husainabdullah1 @NgabalinAli @pramonoanung @Dr_AgusHermanto @rockygerung @ruhutsitompul @habiburokhman @faizalassegaf @dipoalam49 @hincapandjaitan @Don_dasco @MMisbakhun @saididu @FaisalBasri @RamliRizal @jokowi Sampai tahun 2006 Thailand sudah punya 36 Pembangkit Listrik Tenaga Sekam Padi dengan total kapasitas 572,63 MW yang mengkonsumsi sekam padi sebesar 9.800 ton/MW/tahun &amp;harga sekam padi tahun 2006 tersebut sudah mencapai 1.000 bath (US$25)/ton  https://t.co/kO0gPWcCQI … https://t.co/ivveI1tARD",fitrajayapilian,116,0,1,0
unlabeled,2018-10-20 15:53:45+00:00,"@Dennysiregar7 @prabowo Cuma sekedar bicara tanpa tindakan nyata, apalah artinya...",Teradewa70Tan,177,0,0,0
unlabeled,2018-10-23 09:00:27+00:00,"@HensuAja @karniilyas Bapak Prabowo Jadi Satria 

dah cocok ada kudanya 😊😊😊 
beliau juga gak perlu jadi sinden karn dah kaya 😁😁",EDitektif,16874,0,1,0
unlabeled,2018-10-30 13:24:05+00:00,@MbahUyok @RelawanProSandi @prabowo @Gerindra Ayo Pak @fadlizon kalau bisa cepet diselesaikan akan lebih baik...,heriyantods,3562,0,0,0
unlabeled,2018-10-23 11:24:15+00:00,"@prabowo Mau ganti image pribadi yg sederhana, sementara kudanya dikandangin dulu.",ndarujma,73,0,0,0
unlabeled,2018-10-22 10:31:33+00:00,"P. @prabowo, p. @sandiuno, m.@Dahnilanzar, @Gerindra
Kalo boleh kasih saran, dorong program2nya yg berkebalikan dari petahana..
Misalnya, untuk menghemat anggaran, tinjau ulang proyek2 infrastruktur, tinjau ulang pembelian saham Freeport, dll",Bedjo_sl,6,0,0,0
unlabeled,2018-10-25 10:54:35+00:00,@SaveIDN @Airin_NZ @prabowo Cius nih?,somat_amoral,3225,0,0,0
unlabeled,2018-10-30 21:28:20+00:00,"@eae18 @prabowo Orang pks ya ? Getol amat sorong2 pks, lihat dulu itu pks d internal aja gak solid masih berantakan, kepikiran juga kali sama gerindra kalau kader pks yang d sana, akan seperti apa dki dan anis nantinya.",wargalama,732,0,1,0
unlabeled,2018-10-19 14:22:59+00:00,@RajaPurwa @prabowo @aniesbaswedan Semoga bang @aniesbaswedan bisa istiqomah dlm menjalankan amanah.,chairil7591,702,0,0,0
unlabeled,2018-10-25 12:55:47+00:00,"@prabowo 
Semua data center yg beroperasi di Indonesia hrs di wilayah Indonesia. At all cost! PLN harus bisa menyediakan listrik 100% tanpa down. Gov. dan lmbg strategis wajib naruh datanya di DC dalam negeri. Ecommerce juga. Kita bangun kedaulatan data.
Ada Capres yg komit bgni?",JJ_tilu,250,1,0,0
unlabeled,2018-10-21 05:33:57+00:00,@andi_iiii @dayatia @eae18 @panca66 @aipsun @prabowo @Dahnilanzar Cocok,DonAdam68,197071,0,0,0
unlabeled,2018-10-27 13:08:23+00:00,"@Edwar8 @YusdinRukka @rockygerung @budimandjatmiko @prabowo Kasian...si dungu gk tau malu, ngintip2 tweetnya prof RG. apa gk dungu permanen tuh. Klu gk punya otak jgn malu pinjem otak bong",Arka082359301,11,0,1,0
unlabeled,2018-10-21 17:39:29+00:00,"Insya Allah 
2019 - 2024 

Presiden &amp; Wakil Presiden
RI ke - 8. 

Prabowo - Sandi.

COBLOS NO. 02 
17 APRIL 2019. https://t.co/YmkZyuSKVq",CakUoott,145,2,0,1
unlabeled,2018-10-21 04:01:36+00:00,"Timses Prabowo Usul Debat Capres Digelar di Kampus, Mengundang Akademisi Terpilih

#AkuSERUJI
#BPNPrabowoSandiaga #Pilpres2019
https://t.co/4YJxNuIDqz",serujinews,5904,1,0,3
unlabeled,2018-10-26 13:38:15+00:00,"@AdiHaryawan @BangPino_ @prabowo Semamgat mas!

Buat ku #2019GantiPresiden 
Dan #PrabowoBersamaUlama 
Semoga #AdilMakmur",Efner10,232,3,1,0
unlabeled,2018-10-24 15:32:10+00:00,"Mungkin juga tidak hanya fisik yang pendek, kemampuan EQ nya juga diragukan kecukupannya?
&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;Prabowo Mengaku Pendek karena Suka Minum Air Es Bukan Susu https://t.co/6m3OJauDDD",wongmlaku,9117,0,1,0
unlabeled,2018-10-30 15:29:24+00:00,"@RestyCayah @Jembret_002 @prabowo restu cm buat jadi wagub kl restu dgn cara menutup nutupi kesalahan itu baru tidak benar ,,, toh restu tidak bisa menghentikan proses hukum brow ,,, biar kpk tangkap walaupun sudah jd wagub",Andipra28296479,100,0,0,0
unlabeled,2018-10-29 11:05:03+00:00,"Beredar Hasil Istikharah Ulama Madura, Temukan Ayat Ini dan Mantap Pilih Prabowo-Sandi - https://t.co/ZsaI104snA",TPK_RI,19861,34,1,24
unlabeled,2018-10-30 21:27:20+00:00,@Bhots3 @RestyCayah @prabowo ha ha  kini koment paling gokil,Fauzan013,121,0,0,0
unlabeled,2018-10-19 00:30:59+00:00,"@prabowo Aamiin aamiin, ku titipkan masa depan indonesia setelah ini bersamamu pak, amanah ya, semoga Allah lindungimu sllu 💜",adja_ficky,176,0,0,0
unlabeled,2018-10-23 16:48:44+00:00,Cita-cita pak prabowo dan bang sandi adalah indonesia menjadi negara produsen tidak lg menjadi negara konsumen.,RyanMauladani,294,0,0,0
unlabeled,2018-10-28 07:17:12+00:00,Cerita Prabowo Sempat Berharap Rhoma Irama Gabung Gerindra https://t.co/zg9b0RkNV5,RatnoWistu,461,0,0,0
unlabeled,2018-10-26 02:45:03+00:00,Berapa banyak ongkos yang akan dikeluarkan Prabowo untuk menjemput Habib Rizieq? #satir https://t.co/UIXBmQcQjx,pinterpolitik,13152,0,0,0
unlabeled,2018-10-25 17:32:38+00:00,"I liked a @YouTube video https://t.co/KRVdW4791m Habis Dibohhongi Ratna, Kini Prabowo Dikibbuli H*T*!?",Denis_kurniawan,61,0,0,0
unlabeled,2018-10-30 07:55:09+00:00,Baru tahu kalau jari begini adalah kode gay di china..... Masa sih pak @prabowo @hnurwahid @sandiuno https://t.co/l9wHn4M9a9,aaedoys,384,0,1,0
unlabeled,2018-10-25 10:20:08+00:00,"@mickvarmaelen @anggerPams @VeritasArdentur @prabowo @jokowi @lukmansaifuddin @Kemendagri_RI @Kemendag Mirip. Tapi selain faktor pendidikan, iklim politik pun jadi faktor perhitungan lain. Kayaknya pernah baca perbandingan soal ini, dengan negara lain seperti negara-negara di Eropa. 🤔",alexatjeh,2163,0,2,0
unlabeled,2018-10-24 17:04:38+00:00,@Dahnilanzar HARTANYA @prabowo AJA DARI KORUPSI,MagdaAnnie,15,0,0,0
unlabeled,2018-10-22 09:51:08+00:00,"Hotman Paris Hutapea Umumkan Sikap Politiknya di Pilpres 2019, Prabowo-Sandi Atau Jokowi-Ma’ruf? https://t.co/T1FAKCEF2M lewat @repelitaonline",RinaAnak_Bundaa,97,0,0,0
unlabeled,2018-10-24 00:35:22+00:00,@detikcom @prabowo @detikfinance Ngibul terussas...,rihatsitorus,57,0,0,0
unlabeled,2018-10-28 04:20:11+00:00,"Alhamdulillah, Pak Jokowi dan Pak Prabowo memberikan contoh bagaimana menjaga persahabatan meskipun sedang berkompetisi.
#SumpahKitaSatu",Umibibi1,71,0,0,0
unlabeled,2018-10-22 07:13:40+00:00,@ProfYLH @prabowo @sandiuno @Dahnilanzar Seharusnya malu... seorang punya gelar terhormat dlm bidang akademisi bermain politik di medsos,Kholik8671,16,1,0,0
unlabeled,2018-10-23 08:03:30+00:00,"@detikcom @Khojan___08 Setelah pembenaranny sdh tdk diakui oleh siapapun sbg suatu kbenaran akhirny keluar jg kata maaf. Sarumpet yg cuma bohong aj langsung diperkarakan&amp;langsung ada kata2 pak prabowo hrs dieliminasi dr capres,masa ini yg sudah mnistakan keyakinan kami cuma pake materai
#BubarkanBanser",_UmmuAhmed_,1993,2,0,0
unlabeled,2018-10-19 13:04:59+00:00,"@meong699 @22_jajang pa Prabowo apa bisa ?
Ya Nggaklah
Nanti kalo #2019PrabowoPresiden in syaa Allah bisa membawa perubahan yg baik bagi NKRI, Aamiin.",laodearism,467,0,0,0
unlabeled,2018-10-20 12:43:29+00:00,@kompascom Sampai kapanpun atau sampai matipun aq g akan pilih prabowo g p2 ya oom,RiawanAang,2,0,0,0
unlabeled,2018-10-26 07:27:33+00:00,"@marierteman Bismillah,

https://t.co/2UZZvk8uD0…

Meski ada yang menawari Rp 25 M untuk soft campaign Jokowi tapi Nissa Sabyan justru ikut itjima ulama dukung Prabowo Sandi https://t.co/Nzf6Y0aTxS",NisyahSyaras,3289,0,0,1
unlabeled,2018-10-30 16:10:41+00:00,@Ferdinand_Haean @prabowo @sandiuno Baru usulan n rencana blum tentu bisa terwujud tidak semudah membalikan sebuah tangan.. Ini baru masalah subsidi listrik belum yg lain,HeruPra28479286,3,0,0,0
unlabeled,2018-10-28 03:52:34+00:00,"Adem melihat Pak Jokowi dan Pak Prabowo selfie berdua gini, rasanya negara ini aman damai. Lagi momen sumpah pemuda, yuk #SumpahKitaSatu jaga kedamaian",FauziahSika,209,0,0,0
unlabeled,2018-10-29 14:52:53+00:00,"@prabowo musibah tiada henti
moga 2019 berakhir semua aman tentram amiinn",murliani11,161,0,0,0
unlabeled,2018-10-21 12:45:37+00:00,"Saya melihat ""ambisi menggebu2"" ini ada pada diri prabowo https://t.co/6XWNdH0THI",_zhetha,37,0,0,0
unlabeled,2018-10-23 13:10:02+00:00,@fadlizon Kami prabowo sandi,Tamsel8,4,0,0,0
unlabeled,2018-10-19 18:32:38+00:00,@Wawir6 @RinjaniJB @prabowo Coba tunjukkan link berita yg telah tervalidasi secara akurat. Kita crosscheck sama sama,el_mient,39,0,0,0
unlabeled,2018-10-17 17:21:18+00:00,@CintaNKRI12 @Lagarde @prabowo 😁 https://t.co/kClrm5aR6r,Septa_8989,514,0,1,0
unlabeled,2018-10-22 08:35:04+00:00,"Warga Indonesia di Malaysia, Siap Menangkan Prabowo-Sandi https://t.co/zoShOV1uIX https://t.co/HcM96lDElL",fat4h7,7,0,0,0
unlabeled,2018-10-23 07:07:29+00:00,"@P3nj3l4j4h Betul rakyat disekitar kediaman @prabowo di Hambalang memang miskin2;  Sejak saya KKN 1978 sampai kini hidupnya tidak terangkat karena kebun bukan mereka punya, ketrampilan juga tak banyak membanti ekonomi keluarga;",setiadjit,394,0,1,0
unlabeled,2018-10-22 09:44:41+00:00,@Ozge_2017 @geloraco Coba lw tanya Prabowo dah aktivis 98 pada kemana dulu yang hilang itu ?,azterix88,1023,0,1,0
unlabeled,2018-10-22 11:34:11+00:00,"... Rakyat justru merpertanyakan otak prabowo yang pas pas an ☺, ...",Athar69046912,3987,0,0,0
unlabeled,2018-10-24 01:15:49+00:00,"Dukungan yg terus mengalir dari para Kiai dan ulama kharismatik membuktikan bhw Prabowo-Sandi layak memimpin Bangsa ini kedepan
https://t.co/bsi5JJi2p3",ixan253,1275,4,0,2
unlabeled,2018-10-23 08:57:33+00:00,@tempodotco Pedagang kya gni pinter.d pakai alat sm oposisi inget klo gerombolan ini menang.cendana akn meraja Lela.inget bro prabwo itu antek america.jng d boongin sm Prabowo..,rizkynuramal,206,0,0,0
